gender,age,education_level,job_fulltime,job_parttime,job_training,job_annualleave,job_laidoff,job_unemplyed,job_retired,job_student,job_other,work_position,employment_duration,weekly_workhours,effect_of_codetermination_process,work_community_help_in_problems,remote_working,excellent_work_performance,feeling_stressed,financial_stress,good_gender_equality_at_work,good_worker_equality_at_work,overall_life_satisfaction,health_status,sleeping_problems,physical_exercise,employment_prospects,ukraine_worries,surrender,feelings,effort_reward_imbalance_reward,effort_reward_imbalance_effort,ERI_RATIO,WHO5_TOTAL,SISU_LP,SISU_AM,SISU_EP,SISU_HR,SISU_HS,SISU_HO
1,25,4,1,0,0,0,0,0,0,0,0,1,2,4,1,1,1,4,3,3,4,4,4,4,1,2,4,2,,0,34,15,0.97,64,11,10,19,8,14,9
2,27,2,0,1,0,0,0,0,0,1,0,1,2,2,1,1,1,4,1,2,5,5,4,5,4,3,5,0,,1,51,10,0.43,60,13,14,19,7,9,4
3,30,3,1,0,0,0,0,0,0,1,0,1,1,4,1,2,1,5,3,2,5,2,4,4,4,4,5,0,1,0,54,21,0.86,56,14,12,16,9,19,7
1,29,4,1,0,0,0,0,0,0,0,0,1,3,4,1,2,1,2,3,2,4,4,4,5,3,3,4,2,,1,38,14,0.81,72,19,15,17,7,7,5
3,24,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,4,,,3,3,3,2,4,2,1,1,,,,36,9,11,8,10,8,6
3,28,4,1,0,0,0,0,0,0,0,0,1,3,4,1,1,1,2,2,3,3,3,3,4,2,2,4,2,,,31,13,0.92,60,10,13,9,6,9,8
1,27,3,0,0,0,0,0,0,0,1,0,7,,,,,,,4,3,,,4,4,1,2,3,4,,,,,,60,14,16,15,9,10,8
2,26,3,0,0,0,0,0,0,0,1,0,1,1,4,1,1,1,2,4,4,4,4,2,4,4,2,2,3,,,35,21,1.32,44,14,20,15,15,15,6
1,26,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,1,,,2,1,4,1,4,3,,,,,,20,5,8,6,16,12,7
1,62,4,1,0,0,0,0,0,0,0,0,3,5,5,1,1,2,4,4,2,1,2,2,5,3,2,3,2,,0,41,18,0.97,40,12,15,17,9,11,14
1,38,3,1,0,0,0,0,0,0,0,0,4,1,4,1,1,2,4,3,1,5,6,4,4,4,2,5,4,0,1,42,13,0.68,64,14,10,10,16,17,12
1,19,2,0,0,0,0,0,0,0,1,0,7,,,,,,,5,3,,,4,4,2,1,5,3,,,,,,48,15,12,21,13,17,13
1,27,2,0,0,0,0,0,0,0,1,0,6,,,,,,,3,4,,,4,5,2,2,4,3,1,1,,,,76,9,12,11,11,15,6
1,32,4,0,1,0,0,0,0,0,1,0,5,1,2,1,1,1,4,3,3,3,2,3,3,3,2,3,2,1,,38,17,0.98,48,13,12,15,9,13,9
1,21,2,1,0,1,0,0,0,0,1,0,1,1,4,1,1,1,5,3,2,5,5,5,5,3,4,5,1,,,45,14,0.68,80,15,18,18,7,11,8
2,68,4,0,0,0,0,0,0,1,0,0,4,5,1,1,1,1,5,2,2,2,2,5,4,2,2,4,3,1,1,32,18,1.24,60,14,14,13,12,14,14
1,34,4,1,0,0,0,0,0,0,0,0,1,3,4,1,1,1,4,4,3,5,5,2,4,3,2,4,2,,,43,15,0.77,64,12,10,12,11,9,6
1,48,4,0,0,0,0,0,1,0,0,0,4,,,,2,,,3,4,,,4,4,4,3,5,2,,,,,,44,15,15,16,5,7,13
2,24,2,0,1,0,0,0,0,0,1,0,1,4,1,1,1,4,5,3,4,4,5,4,3,4,2,5,3,1,,26,12,1.02,48,17,13,20,8,16,14
1,47,3,0,0,0,0,0,0,0,1,0,7,,,,,,,2,1,,,4,4,1,2,3,3,,,,,,72,14,16,18,7,15,11
